task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
14	a5/620fe3	58342	fastcat (7)	COMPLETED	0	2024-05-24 13:57:25.774	587ms	244ms	133.3%	59 MB	173.9 MB	17.8 MB	19.9 MB
7	15/a98225	57949	kraken_pipeline:run_common:abricateVersion	COMPLETED	0	2024-05-24 13:57:10.881	36.4s	240ms	96.4%	5.8 MB	284.2 MB	627 KB	303 B
19	34/c0f5ca	58054	kraken_pipeline:run_amr:abricate (47)	COMPLETED	0	2024-05-24 13:57:18.883	29s	1.2s	109.5%	5.6 MB	284.2 MB	2.5 MB	1 MB
28	e6/96b088	58385	kraken_pipeline:output_results (2)	COMPLETED	0	2024-05-24 13:57:47.921	727ms	6ms	0.0%	0	0	32.6 KB	182 B
18	dc/4d774b	58051	kraken_pipeline:run_amr:abricate (124)	COMPLETED	0	2024-05-24 13:57:18.881	32.4s	3.9s	98.1%	187.1 MB	1.9 GB	16.5 MB	12.6 MB
20	51/927328	58384	kraken_pipeline:run_amr:abricate (180)	COMPLETED	0	2024-05-24 13:57:47.917	4.2s	3.3s	100.9%	182 MB	1.8 GB	13.4 MB	9.8 MB
29	b3/9ff33d	58394	kraken_pipeline:run_amr:abricate_json (1)	COMPLETED	0	2024-05-24 13:57:47.926	13.4s	12.2s	90.0%	421.3 MB	770.2 MB	46.7 MB	26.7 MB
31	fa/d213e9	58516	kraken_pipeline:run_amr:abricate_json (3)	COMPLETED	0	2024-05-24 13:57:52.174	11.6s	10.7s	97.9%	420.6 MB	770 MB	46.7 MB	26.7 MB
30	bb/530499	58515	kraken_pipeline:run_amr:abricate_json (2)	COMPLETED	0	2024-05-24 13:57:52.171	12s	11.3s	97.0%	421.6 MB	770.2 MB	46.7 MB	26.7 MB
22	84/dc0eb0	58514	kraken_pipeline:run_amr:abricate (126)	COMPLETED	0	2024-05-24 13:57:52.169	15s	14.1s	88.8%	213.2 MB	1.9 GB	61.5 MB	48 MB
23	d7/1edd09	58645	kraken_pipeline:run_amr:abricate (192)	COMPLETED	0	2024-05-24 13:58:07.164	4.4s	3.6s	106.2%	176.9 MB	1.8 GB	14.1 MB	10.3 MB
32	2a/ce4110	58605	kraken_pipeline:run_amr:progressive_amr (47)	COMPLETED	0	2024-05-24 13:58:02.367	10.1s	9.2s	102.2%	421.5 MB	770.1 MB	46.7 MB	26.7 MB
24	8f/e26fbc	58708	kraken_pipeline:run_amr:abricate (334)	COMPLETED	0	2024-05-24 13:58:11.569	3.6s	2.7s	102.7%	162.3 MB	1.6 GB	10.5 MB	7.7 MB
33	ba/fc215a	58646	kraken_pipeline:run_amr:abricate_json (4)	COMPLETED	0	2024-05-24 13:58:07.166	9.9s	9.4s	104.9%	422.5 MB	770 MB	46.7 MB	26.7 MB
21	fa/7af35a	58479	kraken_pipeline:run_amr:abricate (307)	COMPLETED	0	2024-05-24 13:57:51.308	26s	25.3s	93.4%	261.4 MB	1.9 GB	131.4 MB	103.2 MB
25	7d/755065	58805	kraken_pipeline:run_amr:abricate (83)	COMPLETED	0	2024-05-24 13:58:15.158	6.2s	5.3s	98.6%	182.6 MB	1.8 GB	17.5 MB	13.1 MB
34	67/eb159b	58709	kraken_pipeline:run_amr:abricate_json (5)	COMPLETED	0	2024-05-24 13:58:11.571	10.3s	9.8s	102.8%	420.9 MB	770 MB	46.7 MB	26.7 MB
35	b8/f9a66d	58771	kraken_pipeline:run_amr:progressive_amr (180)	COMPLETED	0	2024-05-24 13:58:13.489	10.3s	9.6s	102.6%	422 MB	770.1 MB	46.7 MB	26.7 MB
36	6e/0c05ff	58840	kraken_pipeline:run_amr:abricate_json (6)	COMPLETED	0	2024-05-24 13:58:17.106	10.5s	9.9s	101.7%	422.9 MB	770.2 MB	46.7 MB	26.7 MB
27	17/710479	58907	kraken_pipeline:run_amr:abricate (259)	COMPLETED	0	2024-05-24 13:58:21.337	7.8s	6.7s	95.5%	199.2 MB	1.9 GB	26.2 MB	20.6 MB
